name,neighborhood,Location 1,image_urls,description
City Hall,Downtown,"100 Holliday Street
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/1city_hall_baltimore.jpg/240px-1city_hall_baltimore.jpg,"100 North Holliday Street, (between East Lexington and Fayette Streets), facing City Hall Plaza/War Memorial Plaza."
Otterbein Church,Inner Harbor,"112 Conway Street
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Otterbein_Church_MD1.jpg/250px-Otterbein_Church_MD1.jpg,"Otterbein Church, now known as Old Otterbein United Methodist Church, is a historic United Brethren church located in Baltimore, Maryland, United States. The first ""German Reformed"" church was built to serve the German Reformed and some Evangelical Lutheran immigrants, and later entered the Brethren strain of German Reformed Protestantism in the later Church of the United Brethren in Christ. It is a two-story brick Georgian structure with a peaked roof, built 1785-1786, and features a square bell tower and an octagonal white ""cupola-on-cupola"", with much of the original wavy, hand-blown glass window panes still remaining. It had a major remodeling occurring in 1839, and some additional cleaning and restoration of its exterior brick walls and wall-fence surrounding the parish. The tower's bells date to 1789, and are still in use. That same year, the first Conference of United Brethren preachers was held and resulted in the official organization of the Church of the United Brethren in Christ, with Pastor Philip William Otterbein, (1726-1813) as a bishop (five years after he participated in the ""laying on"" of hands on famous evangelist and missionary Francis Asbury, (1745-1816), ordained as the first bishop of the new Methodist Episcopal Church. He was later buried in the adjacent churchyard, surrounding the building.[2]"
McKim Free School,Jonestown,"1120 Baltimore Street
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BaltimoreC12.png/250px-BaltimoreC12.png,"Baltimore (/ˈbɔːltᵻˌmɔːr/, locally: [ˈbɔɫ.mɔɻ]) is the largest city in the U.S. state of Maryland, and the 29th-most populous city in the country. It was established by the Constitution of Maryland[9] and is not part of any county; thus, it is the largest independent city in the United States, with a population of 621,849 as of 2015. As of 2016, the population of the Baltimore metropolitan area was estimated to be just under 2.8 million making it the 21st largest metropolitan area in the country.[10]"
First Unitarian Church,Mount Vernon,"2 12 West Franklin Street
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/First_Unitarian_Church_Baltimore_MD1.jpg/250px-First_Unitarian_Church_Baltimore_MD1.jpg,"The First Unitarian Church is a historic church and congregation at 12 West Franklin Street in Baltimore, Maryland. Dedicated in 1818, it was the first building erected for Unitarians in the United States. The church is a domed cube with a stucco exterior.[3] The church, originally called the ""First Independent Church of Baltimore"", is the oldest building continuously used by a Unitarian congregation. The name was changed in 1935 to ""The First Unitarian Church of Baltimore (Unitarian and Univeralist)"" following the merger with the former Second Universalist Church at East Lanvale Street and Guilford Avenue in East Baltimore. The Unitarians (founded 1825) and Universalists merged as a national denomination in 1961."
Ebenezer A.M.E. Church,Federal Hill,"18 20-30 W Montgomery Street
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Flag_of_Hyattsville%2C_Maryland.png/100px-Flag_of_Hyattsville%2C_Maryland.png,"Hyattsville is a city in Prince George's County, Maryland,[5] and also a close, urban suburb of Washington, D.C. The population was 17,557 at the 2010 United States Census.[6]"
Municipal Museum of Balt (Peale Museum),Downtown,"225 Holliday Street
Baltimore, MD",http://visioncame.com/images/notfound.jpg,"Bacon ipsum dolor amet ball tip pig ribeye chicken pastrami jerky porchetta shank frankfurter capicola jowl corned beef turkey. Burgdoggen pork loin jerky biltong shank capicola. Doner rump leberkas tongue. T-bone tri-tip meatball cupim pork belly. Tenderloin pork ribeye, frankfurter alcatra ham hock cow picanha swine filet mignon ground round kielbasa short loin jerky ball tip. Brisket jowl capicola chicken beef ribs leberkas ground round filet mignon pork spare ribs tri-tip shankle sausage meatball."
Lovely Lane Methodist Church (First Methodist),Charles Village,"2200 St Paul Street
Baltimore, MD",http://upload.wikimedia.org/wikipedia/en/thumb/4/46/Thomaskelsoplate.jpg/220px-Thomaskelsoplate.jpg,"Thomas Kelso (1784–1878) was an Irish-American philanthropist and businessman, who was born in Clones, a market town in the north of Ireland, August 28, 1784. He died on the morning of July 26, 1878[1] at his home of many years on East Baltimore Street in Baltimore, Maryland, at the age of 94."
Lloyd Street Synagogue,Jonestown,"11 Lloyd Street
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Lloyd_Street_Synagogue%2C_11_Lloyd_St.%2C_Baltimore_City%2C_Maryland.JPG/250px-Lloyd_Street_Synagogue%2C_11_Lloyd_St.%2C_Baltimore_City%2C_Maryland.JPG,"The Lloyd Street Synagogue is an 1845, Greek Revival style synagogue building in Baltimore, Maryland. One of the oldest synagogues in the United States, Lloyd Street was the first synagogue building erected in Maryland and is the third oldest synagogue building still standing in the United States. Lloyd Street is now owned by the Jewish Museum of Maryland and is open to the public as a museum in the Inner Harbor area of Baltimore. It is listed on the National Register of Historic Places."
Bethel A.M.E. Church,Upton,"1300 Druid Hill Avenue
Baltimore, MD",http://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png,"The African Methodist Episcopal Church, usually called the A.M.E. Church, is a predominantly African-American Methodist denomination based in the United States. It is the oldest independent Protestant denomination founded by black people in the world. It was founded by the Rt. Rev. Richard Allen in Philadelphia, Pennsylvania, in 1816 from several black Methodist congregations in the mid-Atlantic area that wanted independence from white Methodists. Allen was consecrated its first bishop in 1816. It began with 8 clergy and 5 churches, and by 1846 had grown to 176 clergy, 296 churches, and 17,375 members. The 20,000 members in 1856 were located primarily in the North.[4][5] AME national membership (including probationers and preachers) jumped from 70,000 in 1866 to 207,000 in 1876.[6]"
Eutaw Place Baptist Church,Madison Park,"313 Dolphin Street
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Race_and_ethnicity_2010-_Baltimore_%285559896701%29.png/220px-Race_and_ethnicity_2010-_Baltimore_%285559896701%29.png,"There have been various ethnic groups in Baltimore, Maryland and its surrounding area since it was founded as a British colony in 1661. Native Americans lived in the Baltimore territory for millennia before European colonization, and some still reside in the city."
