name,neighborhood,Location 1,image_urls,description
James Cardinal Gibbons,Downtown,"408 CHARLES ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/5/57/James_Gibbons.jpg,"James Gibbons (July 23, 1834 – March 24, 1921) was an American Cardinal of the Roman Catholic Church. He served as Apostolic Vicar of North Carolina from 1868 to 1872, Bishop of Richmond, Virginia, from 1872 to 1877, and as ninth Archbishop of Baltimore, Maryland, from 1877 until his death in 1921. Gibbons was elevated to the cardinalate in 1886."
The Battle Monument,Downtown,Calvert St. between Fayette and Lexington St,http://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Battle_Monument_MD1.jpg/250px-Battle_Monument_MD1.jpg,"The Battle Monument, located in Battle Monument Square on North Calvert Street between East Fayette and East Lexington Streets in Baltimore, Maryland, commemorates the Battle of Baltimore with the British fleet's bombardment of Fort McHenry, the Battle of North Point, southeast of the city in Baltimore County on the Patapsco Neck peninsula and the stand-off on the eastern siege fortifications along Loudenschlager's Hill, later Hampstead Hill, in what is now Patterson Park, east of town. It honors those who died during the month of September 1814 during the War of 1812. The monument lies in the middle of the street and is between the two Baltimore City Circuit Courthouses that are located on the opposite sides of Calvert Street. It was sponsored by the City and the ""Committee of Vigilance and Safety"" led by Mayor Edward Johnson and military commanders: Brig. Gen. John Stricker, Maj. Gen. Samuel Smith and Lt. Col. George Armistead (of Ft. McHenry)."
Negro Heroes of the U.S Monument,Downtown,"39.2908708,-76.6123887",http://upload.wikimedia.org/wikipedia/commons/thumb/4/47/War_memorial_horse_%26_eagle.jpg/220px-War_memorial_horse_%26_eagle.jpg,"War Memorial Plaza is a public square, small park and space in Downtown Baltimore between City Hall and the War Memorial Building, between Holliday Street on the west, East Fayette Street on the south, North Gay Street on the east, and East Lexington Street on the north."
Star Bangled Banner,Downtown,"100 HOLLIDAY ST
Baltimore, MD",http://visioncame.com/images/notfound.jpg,"Bacon ipsum dolor amet ball tip pig ribeye chicken pastrami jerky porchetta shank frankfurter capicola jowl corned beef turkey. Burgdoggen pork loin jerky biltong shank capicola. Doner rump leberkas tongue. T-bone tri-tip meatball cupim pork belly. Tenderloin pork ribeye, frankfurter alcatra ham hock cow picanha swine filet mignon ground round kielbasa short loin jerky ball tip. Brisket jowl capicola chicken beef ribs leberkas ground round filet mignon pork spare ribs tri-tip shankle sausage meatball."
Flame at the Holocaust Monument,Downtown,"50 MARKET PL
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Washington_October_2016-6_%28cropped%29_%28cropped%29.jpg/250px-Washington_October_2016-6_%28cropped%29_%28cropped%29.jpg,"The Washington Monument is an obelisk on the National Mall in Washington, D.C., built to commemorate George Washington, once commander-in-chief of the Continental Army and the first President of the United States. Located almost due east of the Reflecting Pool and the Lincoln Memorial,[2] the monument, made of marble, granite, and bluestone gneiss,[3] is both the world's tallest stone structure and the world's tallest obelisk, standing 554 feet 7 11⁄32 inches (169.046 m) tall according to the National Geodetic Survey (measured 2013–14) or 555 feet 5 1⁄8 inches (169.294 m) tall according to the National Park Service (measured 1884).[n 1] It is the tallest monumental column in the world if all are measured above their pedestrian entrances.[n 2]"
Calvert Statue,Downtown,"100 CALVERT ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Calvertcecil.jpg/220px-Calvertcecil.jpg,"Cecil Calvert, 2nd Baron Baltimore (8 August 1605 – 30 November 1675), was the first Proprietor and Proprietary Governor of the Province of Maryland, and ninth Proprietary Governor of the Colony of Newfoundland and the colony of Avalon (in the southeast). His title was ""Cecil Calvert, Second Baron Baltimore, First Lord Proprietary, Earl Palatine of the Provinces of Maryland and Avalon in America"". He received the proprietorship after the death of his father, George Calvert, 1st Baron Baltimore, (15 April 1632), for whom it had been intended. Cecil Calvert established and managed the Province of Maryland from his home, Kiplin Hall, in North Yorkshire, England. As an English Roman Catholic, he continued the legacy of his father by promoting religious tolerance in the colony."
War Memorial Building/Aquatic Wa Horses,Downtown,"101 GAY ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Camp_Cherry_Valley_dining_hall_sign.jpg/140px-Camp_Cherry_Valley_dining_hall_sign.jpg,There are hundreds of local council camps of the Boy Scouts of America operated by the Boy Scouts of America. Some of these include:
Boy Scout,Remington,"3100 CHARLES ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Girl_scouts_hold_up_their_certifications_of_appreciation_for_participating.jpg/140px-Girl_scouts_hold_up_their_certifications_of_appreciation_for_participating.jpg,"Scouting in Maryland has a long history, from the 1910s to the present day, serving millions of youth with activities that have adapted to the changing cultural environment but have always been rooted in an active outdoor program."
Reese Monument,Clifton Park,"2801 SAINT LO DR
Baltimore, MD",http://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png,Cloud or Cloude is a surname found in early England and in some Native American families.
Poe Monument,Mid-Town Belvedere,"1420 CHARLES ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BaltimoreC12.png/250px-BaltimoreC12.png,"Baltimore (/ˈbɔːltᵻˌmɔːr/, locally: [ˈbɔɫ.mɔɻ]) is the largest city in the U.S. state of Maryland, and the 29th-most populous city in the country. It was established by the Constitution of Maryland[9] and is not part of any county; thus, it is the largest independent city in the United States, with a population of 621,849 as of 2015. As of 2016, the population of the Baltimore metropolitan area was estimated to be just under 2.8 million making it the 21st largest metropolitan area in the country.[10]"
