name,neighborhood,Location 1,image_urls,description
American Dime Museum,Charles North,"1808 Maryland Ave
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/30px-Commons-logo.svg.png,"This list of museums in Maryland encompasses museums, defined for this context as institutions (including nonprofit organizations, government entities, and private businesses) that collect and care for objects of cultural, artistic, scientific, or historical interest and make their collections or related exhibits available for public viewing. Museums that exist only in cyberspace (i.e., virtual museums) are not included."
American Indian Museum,Washington Hill,"118 Broadway
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Baltimore_American_Indian_Center.jpg/200px-Baltimore_American_Indian_Center.jpg,"The history of the Native Americans in Baltimore and what is now Baltimore dates back at least 12,000 years. As of 2014, Baltimore is home to a small Native American population centered in East Baltimore. The majority of the Native Americans now living in Baltimore belong to the Lumbee, Piscataway, and Cherokee tribes. The Piscataway tribe is indigenous to Southern Maryland, living in the area for centuries prior to European colonization. The Lumbee and Cherokee are indigenous to North Carolina and neighboring states of the Southeastern United States. Many of the Lumbee and Cherokee migrated to Baltimore during the mid-1900s along with other migrants from the South, such as African-Americans and white Appalachians."
American Visionary Art Museum,Federal Hill,"800 Key Hwy
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/en/thumb/0/02/American_Visionary_Arts_Museum%2C_Baltimore_%28ca._2005%29.jpg/220px-American_Visionary_Arts_Museum%2C_Baltimore_%28ca._2005%29.jpg,Coordinates: 39°16′49″N 76°36′25″W﻿ / ﻿39.28028°N 76.60694°W﻿ / 39.28028; -76.60694
B. Olive Cole Pharmacy Museum,University Of Maryland,"650 Lombard St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/B%26O_Mount_Clare_Station_%28Baltimore%29.jpg/250px-B%26O_Mount_Clare_Station_%28Baltimore%29.jpg,"The B&O Railroad Museum is a museum exhibiting historic railroad equipment in Baltimore, Maryland, originally named the Baltimore & Ohio Transportation Museum when it opened on July 4, 1953. It has been called one of the most significant collections of railroad treasures in the world and has the largest collection of 19th-century locomotives in the U.S.[3][4] The museum is located in the Baltimore and Ohio Railroad's old Mount Clare Station and adjacent roundhouse, part of the B&O's sprawling Mount Clare Shops site begun in 1829, the oldest railroad manufacturing complex in the United States.[5]"
Babe Ruth Birthplace and Museum,Ridgely's Delight,"216 Emory St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png,"The Camden Yards Sports Complex is located in the center of Baltimore, Maryland. The complex is composed of multiple buildings and stadiums including Oriole Park at Camden Yards and M&T Bank Stadium. The two stadiums are home to the Baltimore Orioles of Major League Baseball and the Baltimore Ravens of the National Football League. The complex still houses the recently closed Sports Legends Museum at Camden Yards (a non-profit museum featuring Maryland sports teams). Along with the Sports Legends Museum, the Babe Ruth Birthplace and Museum is located approximately two blocks from the main entrance of Camden Yards at Eutaw Street. Geppi's Entertainment Museum is also located in Camden Station, atop the Sports Legends at Camden Yards. The complex is more than museums and stadiums. It is a location for community events such as the Dew Tour's Panasonic Open in June 2007 and 2008, the Baltimore Marathon, and the African American Festival which is held every year.[1]"
Baltimore American Indian Center,Upper Fells Point,"113 Broadway
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Baltimore_American_Indian_Center.jpg/200px-Baltimore_American_Indian_Center.jpg,"The history of the Native Americans in Baltimore and what is now Baltimore dates back at least 12,000 years. As of 2014, Baltimore is home to a small Native American population centered in East Baltimore. The majority of the Native Americans now living in Baltimore belong to the Lumbee, Piscataway, and Cherokee tribes. The Piscataway tribe is indigenous to Southern Maryland, living in the area for centuries prior to European colonization. The Lumbee and Cherokee are indigenous to North Carolina and neighboring states of the Southeastern United States. Many of the Lumbee and Cherokee migrated to Baltimore during the mid-1900s along with other migrants from the South, such as African-Americans and white Appalachians."
Baltimore City Fire Museum,Oldtown,"414 Gay St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BaltimoreC12.png/250px-BaltimoreC12.png,"Baltimore (/ˈbɔːltᵻˌmɔːr/, locally: [ˈbɔɫ.mɔɻ]) is the largest city in the U.S. state of Maryland, and the 29th-most populous city in the country. It was established by the Constitution of Maryland[9] and is not part of any county; thus, it is the largest independent city in the United States, with a population of 621,849 as of 2015. As of 2016, the population of the Baltimore metropolitan area was estimated to be just under 2.8 million making it the 21st largest metropolitan area in the country.[10]"
Baltimore Civil War Museum,Inner Harbor,"601 President St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/President_Street_Station_-_Baltimore_1856.jpg/250px-President_Street_Station_-_Baltimore_1856.jpg,"The President Street Station in Baltimore, Maryland, is a former train station and railroad terminal. Built in 1849 and opened in 1850, the station saw the some of the earliest bloodshed of the American Civil War, and was an important rail link during the conflict. Today, it is the county's oldest surviving big-city railroad terminal in the United States and is home to the Baltimore Civil War Museum."
Baltimore Clayworks,Mount Washington,"5706 Smith Ave
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/en/thumb/a/af/Monica_Rudquist.jpeg/220px-Monica_Rudquist.jpeg,"Monica Rudquist is a ceramic artist working out of Minneapolis, Minnesota. She is known for her distinctive ""spiraling shapes"" and works primarily in porcelain.[1]"
Baltimore Maritime Museum,Inner Harbor,"3 Pratt St
BALTIMORE, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/BaltimoreMuseumOfIndustry-FromQuay.jpg/220px-BaltimoreMuseumOfIndustry-FromQuay.jpg,"Baltimore Museum of Industry is a museum in Baltimore, Maryland, United States. Located in an old cannery, the museum has exhibits on various types of manufacturing and industry from the early 20th century. There are several hands-on sections with working equipment and other artifacts."
