name,neighborhood,Location 1,image_urls,description
Christian Memorial Church,Easterwood,"2001 NORTH AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Brown_Memorial_Presby_Church.jpg/220px-Brown_Memorial_Presby_Church.jpg,"Brown Memorial Park Avenue Presbyterian Church of Baltimore, Maryland, U.S., is a large, Gothic Revival-style church built in 1870 and located at Park and Lafayette Avenues in the city's Bolton Hill section. Named in memory of a 19th-century Baltimore financier, the ornate church is noted for its exquisite stained glass windows by renowned artist Louis Comfort Tiffany, soaring vaulted ceiling, and the prominent persons associated with its history. Maltbie Babcock, who was the church's pastor 1887–1900, wrote the familiar hymn, This is My Father's World.[1] Storied virtuoso concert performer Virgil Fox was organist at Brown Memorial early in his career (1936–1946).[2]"
Har Sinai Church Of Christ,Fells Point,"300 BROADWAY
Baltimore, MD",http://visioncame.com/images/notfound.jpg,"Bacon ipsum dolor amet ball tip pig ribeye chicken pastrami jerky porchetta shank frankfurter capicola jowl corned beef turkey. Burgdoggen pork loin jerky biltong shank capicola. Doner rump leberkas tongue. T-bone tri-tip meatball cupim pork belly. Tenderloin pork ribeye, frankfurter alcatra ham hock cow picanha swine filet mignon ground round kielbasa short loin jerky ball tip. Brisket jowl capicola chicken beef ribs leberkas ground round filet mignon pork spare ribs tri-tip shankle sausage meatball."
Lords Church,Central Park Heights,"5010 PARK HEIGHTS AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BaltimoreC12.png/250px-BaltimoreC12.png,"Baltimore (/ˈbɔːltᵻˌmɔːr/, locally: [ˈbɔɫ.mɔɻ]) is the largest city in the U.S. state of Maryland, and the 29th-most populous city in the country. It was established by the Constitution of Maryland[9] and is not part of any county; thus, it is the largest independent city in the United States, with a population of 621,849 as of 2015. As of 2016, the population of the Baltimore metropolitan area was estimated to be just under 2.8 million making it the 21st largest metropolitan area in the country.[10]"
Hallelujah United Church Of God,Arlington,"3606 ROGERS AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/5/51/JeffertsSchori.JPG/220px-JeffertsSchori.JPG,"The ordination of women to ministerial or priestly office is an increasingly common practice among some major religious groups of the present time, as it was of several pagan religions of antiquity though never of Judeo-Christian religions."
Fourth Mount Zion Baptist Church,Hanlon-Longwood,"2504 HILTON ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png,"The following is a timeline of the history of the city of Baltimore, Maryland, United States"
Church Of The Living God,Penrose/Fayette Street Outreach,"2402 FAYETTE ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png,"The African Methodist Episcopal Church, usually called the A.M.E. Church, is a predominantly African-American Methodist denomination based in the United States. It is the oldest independent Protestant denomination founded by black people in the world. It was founded by the Rt. Rev. Richard Allen in Philadelphia, Pennsylvania, in 1816 from several black Methodist congregations in the mid-Atlantic area that wanted independence from white Methodists. Allen was consecrated its first bishop in 1816. It began with 8 clergy and 5 churches, and by 1846 had grown to 176 clergy, 296 churches, and 17,375 members. The 20,000 members in 1856 were located primarily in the North.[4][5] AME national membership (including probationers and preachers) jumped from 70,000 in 1866 to 207,000 in 1876.[6]"
Way Of The Cross Church,Wilson Park,"4303 OLD YORK RD
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/8/82/MD_Route_139.svg/88px-MD_Route_139.svg.png,""
Rising Zion Baptist Church Inc,Broadway East,"2300 LLEWELYN AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/West_Presbyterian_Church%2C_Carmine_Street.jpg/220px-West_Presbyterian_Church%2C_Carmine_Street.jpg,Coordinates: 40°45′15″N 73°58′57″W﻿ / ﻿40.75413°N 73.98244°W﻿ / 40.75413; -73.98244
First Baptist Church Of Baltimore,Dorchester,"4200 LIBERTY HEIGHTS AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BaltimoreC12.png/250px-BaltimoreC12.png,"Baltimore (/ˈbɔːltᵻˌmɔːr/, locally: [ˈbɔɫ.mɔɻ]) is the largest city in the U.S. state of Maryland, and the 29th-most populous city in the country. It was established by the Constitution of Maryland[9] and is not part of any county; thus, it is the largest independent city in the United States, with a population of 621,849 as of 2015. As of 2016, the population of the Baltimore metropolitan area was estimated to be just under 2.8 million making it the 21st largest metropolitan area in the country.[10]"
Pleasant Rock Baptist Church,Washington Village,"1099 SCOTT ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Row_houses_in_East_Monument_Historic_District%2C_Baltimore%2C_Maryland.JPG/200px-Row_houses_in_East_Monument_Historic_District%2C_Baltimore%2C_Maryland.JPG,"The history of the Czechs in Baltimore dates back to the mid-19th century. Thousands of Czechs immigrated to East Baltimore during the late 19th and early 20th centuries, becoming an important component of Baltimore's ethnic and cultural heritage. The Czech community has founded a number of cultural institutions to preserve the city's Czech heritage, including a Roman Catholic church, a heritage association, a festival, a language school, and a cemetery. During the height of the Czech community in the late 1800s and early 1900s, Baltimore was home to 12,000 to 15,000 people of Czech birth or heritage. The population began to decline during the mid-to-late 20th century, as the community assimilated and aged and many Czech Americans moved to the suburbs of Baltimore. By the 1980s and early 1990s, the former Czech community in East Baltimore had been almost entirely dispersed."
"God First Ministries, Inc.",Madison Park,"1701 MADISON AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/en/thumb/2/2f/DeltaPsiEpsilonCrest.png/220px-DeltaPsiEpsilonCrest.png,     Lime Green
Sharp Street Memorial U.M.C.,Upton,"1206 ETTING ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/MD_Route_63.svg/70px-MD_Route_63.svg.png,""
New Christian Fellowship Baptist Church,Central Park Heights,"4857 REISTERSTOWN RD
Baltimore, MD",http://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png,"The designation of the oldest church in the United States requires careful use of definitions, and must be divided into two parts, the oldest in the sense of oldest surviving building, and the oldest in the sense of oldest Christian church congregation. Even here, there is the distinction between old church buildings that have been in continuous use as churches, and those that have been converted to other purposes; and between buildings that have been in continuous use as churches and those that were shuttered for many decades."
Guiding Light Baptist Church,Greenspring,"2621 OSWEGO AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/8/82/MD_Route_139.svg/88px-MD_Route_139.svg.png,""
Saint Bartholomew's Church,Ten Hills,"4711 EDMONDSON AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/BasilicaExterior.jpg/220px-BasilicaExterior.jpg,"The Basilica of the National Shrine of the Assumption of the Blessed Virgin Mary, also called the Baltimore Basilica, was the first Roman Catholic cathedral built in the United States, and was among the first major religious buildings constructed in the nation after the adoption of the U.S. Constitution. As a co-cathedral, it is one of the seats of the Roman Catholic Archdiocese of Baltimore in Baltimore, Maryland. Additionally it is a parish church (ranked minor basilica) and national shrine. It is considered the masterpiece of Benjamin Henry Latrobe, the ""Father of American Architecture""."
Pleasant Hope Baptist Church,Rosebank,"430 BELVEDERE AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Ijamsville_Maryland_2.jpg/250px-Ijamsville_Maryland_2.jpg,"Ijamsville (pronunciation: /ˈaɪəmzvɪl/ EYE-əmz-vil) is an unincorporated community located 7 miles (11 km) southeast of Frederick,[1] in Frederick County, Maryland, United States.[2] The town was founded by Plummer Ijams, a descendant of Welsh immigrants, from whom the town took its name. The discovery of high-quality slate in the area led to Ijamsville's brief era as a mining town, which lasted until its transition to agriculture in the mid-1800s. In the mid-to-late 20th century, large quantities of land in Ijamsville were purchased by developers, and the town became primarily residential as a suburb of Frederick, Baltimore, and D.C.."
Pleasant Hope Baptist Church,Rosebank,"430 BELVEDERE AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Towson_Skyline.jpg/250px-Towson_Skyline.jpg,"Towson (/ˈtaʊsən/)[1] is an unincorporated community and a census-designated place in Baltimore County, Maryland. The population was 55,197 at the 2010 census. It is the county seat of Baltimore County[2] and the second-most populated unincorporated county seat in the United States (after Ellicott City, Maryland in nearby Howard County).[3]"
Mount Tabor Baptist Church,Broadway East,"1719 OLIVER ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Row_houses_in_East_Monument_Historic_District%2C_Baltimore%2C_Maryland.JPG/200px-Row_houses_in_East_Monument_Historic_District%2C_Baltimore%2C_Maryland.JPG,"The history of the Czechs in Baltimore dates back to the mid-19th century. Thousands of Czechs immigrated to East Baltimore during the late 19th and early 20th centuries, becoming an important component of Baltimore's ethnic and cultural heritage. The Czech community has founded a number of cultural institutions to preserve the city's Czech heritage, including a Roman Catholic church, a heritage association, a festival, a language school, and a cemetery. During the height of the Czech community in the late 1800s and early 1900s, Baltimore was home to 12,000 to 15,000 people of Czech birth or heritage. The population began to decline during the mid-to-late 20th century, as the community assimilated and aged and many Czech Americans moved to the suburbs of Baltimore. By the 1980s and early 1990s, the former Czech community in East Baltimore had been almost entirely dispersed."
Solid Rock Church Of Christ,Rognel Heights,"4315 SIDEHILL RD
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Talbot_Court_House.jpg/220px-Talbot_Court_House.jpg,"Talbot County is a county located in the heart of the Eastern Shore of Maryland in the U.S. state of Maryland. As of the 2010 census, the population was 37,782.[1] Its county seat is Easton.[2] The county was named for Lady Grace Talbot, the wife of Sir Robert Talbot, an Anglo-Irish statesman, and the sister of Lord Baltimore.[3]"
Canton United Methodist Church,Canton,"1000 ELLWOOD AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Mt_Winans_Yard_CSX.jpg/250px-Mt_Winans_Yard_CSX.jpg,"""Mount Winans"" (""Mt. Winans"") is a mixed-use residential, commercial and industrial neighborhood in the southwestern area of the City of Baltimore in Maryland. Its north, south and east boundaries are marked by the various lines of track of the CSX Railroad (formerly the historic Baltimore and Ohio Railroad before 1987, and later briefly, the ""Chessie System""). In addition, Hollins Ferry Road running to the south towards suburban Baltimore County in the southwest and further connecting with adjacent Anne Arundel County to the southeast, draws its western boundary."
Bethany Baptist Church,Mount Winans,"2616 RIDGELY ST
Baltimore, MD",http:,"This is a list of the largest Protestant churches in the United States with more than 1,000 members. Most of these are considered megachurches, while some fall outside this definition.[1] The Hartford Institute's database lists more than 1,300 such Protestant churches in the United States. According to that data, approximately 50 churches on the list have attendance ranging from 10,000 to 47,000.[2]"
True Vine Christian Center,Carrollton Ridge,"2001 FREDERICK AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Messianic_symbols.png/45px-Messianic_symbols.png,"Messianic Judaism is a syncretic movement that combines Christianity—most importantly, the Christian belief that Jesus is the Messiah—with elements of Judaism and Jewish tradition,[1][2][3][4][5] its current form emerging in the 1960s and 1970s.[1][2][6][7][8][9][10][11]"
Holy Cross Episcopal Church,Millhill,"433 MILLINGTON AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/8/82/MD_Route_139.svg/88px-MD_Route_139.svg.png,""
Epiphany Lutheran Church,Cedmont,"4301 RASPE AVE
Baltimore, MD",http:,This is a timeline of women in religion.
Saint James Episcopal Church,Sandtown-Winchester,"1020 LAFAYETTE AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Mount_Calvary_Church_Baltimore.jpg/220px-Mount_Calvary_Church_Baltimore.jpg,"Mount Calvary Church is a Roman Catholic, Anglican Use, parish located in the Seton Hill neighborhood of Baltimore, Maryland. The church was founded in 1842 as a mission congregation within the Episcopal Church and is now a community within the Personal Ordinariate of the Chair of St. Peter of the Roman Catholic Church."
Wilkens Avenue Mennonite Church,New Southwest/Mount Clare,"1616 WILKENS AVE
Baltimore, MD",http://visioncame.com/images/notfound.jpg,"Bacon ipsum dolor amet ball tip pig ribeye chicken pastrami jerky porchetta shank frankfurter capicola jowl corned beef turkey. Burgdoggen pork loin jerky biltong shank capicola. Doner rump leberkas tongue. T-bone tri-tip meatball cupim pork belly. Tenderloin pork ribeye, frankfurter alcatra ham hock cow picanha swine filet mignon ground round kielbasa short loin jerky ball tip. Brisket jowl capicola chicken beef ribs leberkas ground round filet mignon pork spare ribs tri-tip shankle sausage meatball."
Life Celebration Worship Center,Carrollton Ridge,"630 PULASKI ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/a/ab/PeopleTree.png,"Columbia is a principal city within the Baltimore metropolitan area, located in Howard County, Maryland. It is a planned community consisting of 10 self-contained villages. It began with the idea that a city could enhance its residents' quality of life. Creator and developer James W. Rouse saw the new community in terms of human values, rather than merely economics and engineering. Opened in 1967, Columbia was intended to not only eliminate the inconveniences of then-current subdivision design, but also eliminate racial, religious, and class segregation.[citation needed][5]"
Greater New Saint John Baptist Church,Middle East,"1108 WOLFE ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/8/82/MD_Route_139.svg/88px-MD_Route_139.svg.png,""
Saint John Baptist Church,Middle East,"2223 JEFFERSON ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/3/38/St_Alphonsus.JPG/200px-St_Alphonsus.JPG,"The history of the Lithuanians in Baltimore dates back to the mid-19th century. Thousands of Lithuanians immigrated to Baltimore between the 1880s and 1920s. The Lithuanian American community was mainly centered in what is now the Hollins-Roundhouse Historic District. Baltimore's Lithuanian community has founded several institutions to preserve the Lithuanian heritage of the city, including a Roman Catholic parish, a cultural festival, a dance hall, and a yeshiva."
Perkins Square Baptist Church,Rosemont Homeowners/Tenants,"2500 EDMONDSON AVE
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/FederalHillPark.jpg/250px-FederalHillPark.jpg,70000859[2]
New Zion Baptist Church Inc,Mosher,"819 DUKELAND ST
Baltimore, MD",http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Race_and_ethnicity_2010-_Baltimore_%285559896701%29.png/220px-Race_and_ethnicity_2010-_Baltimore_%285559896701%29.png,"There have been various ethnic groups in Baltimore, Maryland and its surrounding area since it was founded as a British colony in 1661. Native Americans lived in the Baltimore territory for millennia before European colonization, and some still reside in the city."
